Tag	GO Term	GO Name	GO Category	Adj. P-value	P-value	Nr Test	Nr Reference	Not Annot Test	Not Annot Ref
UNDER	GO:0061709	reticulophagy	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0070588	calcium ion transmembrane transport	BP_ARGOT	1	0.92	0	1	1	14
UNDER	GO:0006874	intracellular calcium ion homeostasis	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006629	lipid metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0016121	carotene catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010223	secondary shoot formation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1901601	strigolactone biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0051502	diterpene phytoalexin biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006805	xenobiotic metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010082	regulation of root meristem growth	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010074	maintenance of meristem identity	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009058	biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0007131	reciprocal meiotic recombination	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010044	response to aluminum ion	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0015786	UDP-glucose transmembrane transport	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0099402	plant organ development	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0050821	protein stabilization	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009807	lignan biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0051231	spindle elongation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0090307	mitotic spindle assembly	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0007018	microtubule-based movement	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006402	mRNA catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010468	regulation of gene expression	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1902680	positive regulation of RNA biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0000959	mitochondrial RNA metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0140053	mitochondrial gene expression	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0000963	mitochondrial RNA processing	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0008380	RNA splicing	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009909	regulation of flower development	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:2000014	regulation of endosperm development	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010581	regulation of starch biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0080050	regulation of seed development	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1902679	negative regulation of RNA biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006412	translation	BP_ARGOT	1	0.96666667	1	5	1	14
UNDER	GO:0045944	positive regulation of transcription by RNA polymerase II	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009056	catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009699	phenylpropanoid biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0042254	ribosome biogenesis	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0042273	ribosomal large subunit biogenesis	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006891	intra-Golgi vesicle-mediated transport	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006886	intracellular protein transport	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0042538	hyperosmotic salinity response	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009409	response to cold	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009734	auxin-activated signaling pathway	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010417	glucuronoxylan biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009834	plant-type secondary cell wall biogenesis	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006325	chromatin organization	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0005992	trehalose biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006368	transcription elongation by RNA polymerase II	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006979	response to oxidative stress	BP_ARGOT	1	1	1	1	1	14
UNDER	GO:0009856	pollination	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006552	L-leucine catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006506	GPI anchor biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0051209	release of sequestered calcium ion into cytosol	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0048015	phosphatidylinositol-mediated signaling	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0042744	hydrogen peroxide catabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1900458	negative regulation of brassinosteroid mediated signaling pathway	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0030154	cell differentiation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006808	regulation of nitrogen utilization	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0030036	actin cytoskeleton organization	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0097435	supramolecular fiber organization	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006231	dTMP biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0046654	tetrahydrofolate biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006730	one-carbon metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010025	wax biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010143	cutin biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009698	phenylpropanoid metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0001676	long-chain fatty acid metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0010771	negative regulation of cell morphogenesis	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:2000024	regulation of leaf development	BP_ARGOT	1	1	0	0	1	14
