Tag	GO Term	GO Name	GO Category	Adj. P-value	P-value	Nr Test	Nr Reference	Not Annot Test	Not Annot Ref
	GO:0038023	signaling receptor activity	MOLECULAR_FUNCTION	1.0	0.39194948744798136	1.0	2294.0	176.0	815282.0
	GO:0043233	organelle lumen	CELLULAR_COMPONENT	1.0	0.9999999933358018	0.0	1575.0	177.0	816001.0
	GO:0007267	cell-cell signaling	BIOLOGICAL_PROCESS	1.0	1.0000000005804979	0.0	13.0	177.0	817563.0
	GO:0021700	developmental maturation	BIOLOGICAL_PROCESS	1.0	0.9999999987416773	0.0	31.0	177.0	817545.0
	GO:0005886	plasma membrane	CELLULAR_COMPONENT	1.0	0.781029038250602	4.0	15943.0	173.0	801633.0
	GO:0040007	growth	BIOLOGICAL_PROCESS	1.0	0.9999999949742547	0.0	619.0	177.0	816957.0
	GO:0065009	regulation of molecular function	BIOLOGICAL_PROCESS	1.0	0.999999997323837	0.0	24.0	177.0	817552.0
	GO:0005764	lysosome	CELLULAR_COMPONENT	1.0	0.9999999956334703	0.0	117.0	177.0	817459.0
	GO:0005635	nuclear envelope	CELLULAR_COMPONENT	1.0	0.999999988114069	0.0	411.0	177.0	817165.0
	GO:0005634	nucleus	CELLULAR_COMPONENT	1.0	0.7601659728238207	3.0	12898.0	174.0	804678.0
	GO:0009838	abscission	BIOLOGICAL_PROCESS	1.0	0.9999999995191756	0.0	18.0	177.0	817558.0
	GO:0009719	response to endogenous stimulus	BIOLOGICAL_PROCESS	1.0	0.9999999952462196	0.0	2160.0	177.0	815416.0
	GO:0031981	nuclear lumen	CELLULAR_COMPONENT	1.0	0.9999999933358018	0.0	1575.0	177.0	816001.0
	GO:0031982	vesicle	CELLULAR_COMPONENT	1.0	0.9999999969798106	0.0	659.0	177.0	816917.0
	GO:0008289	lipid binding	MOLECULAR_FUNCTION	1.0	0.9999999961064255	0.0	1119.0	177.0	816457.0
	GO:0005576	extracellular region	CELLULAR_COMPONENT	1.0	0.417407390113261	1.0	2491.0	176.0	815085.0
	GO:0005730	nucleolus	CELLULAR_COMPONENT	1.0	1.0000000016526622	0.0	958.0	177.0	816618.0
	GO:0009416	response to light stimulus	BIOLOGICAL_PROCESS	1.0	1.0000000163764364	0.0	1746.0	177.0	815830.0
	GO:0003700	DNA-binding transcription factor activity	MOLECULAR_FUNCTION	1.0	0.6017424039567227	1.0	4241.0	176.0	813335.0
	GO:0019222	regulation of metabolic process	BIOLOGICAL_PROCESS	1.0	0.9999999990626119	0.0	365.0	177.0	817211.0
	GO:0031974	membrane-enclosed lumen	CELLULAR_COMPONENT	1.0	0.9999999933358018	0.0	1575.0	177.0	816001.0
	GO:0030246	carbohydrate binding	MOLECULAR_FUNCTION	1.0	1.000000001207621	0.0	2288.0	177.0	815288.0
	GO:0019725	cellular homeostasis	BIOLOGICAL_PROCESS	1.0	0.9999999940129065	0.0	2082.0	177.0	815494.0
	GO:0060255	regulation of macromolecule metabolic process	BIOLOGICAL_PROCESS	1.0	0.9999999990626119	0.0	365.0	177.0	817211.0
	GO:0090567	reproductive shoot system development	BIOLOGICAL_PROCESS	1.0	0.9999999930038906	0.0	371.0	177.0	817205.0
	GO:0003682	chromatin binding	MOLECULAR_FUNCTION	1.0	0.9999999994103388	0.0	536.0	177.0	817040.0
	GO:0043412	macromolecule modification	BIOLOGICAL_PROCESS	1.0	0.9999999974744962	0.0	2709.0	177.0	814867.0
	GO:0000323	lytic vacuole	CELLULAR_COMPONENT	1.0	0.9999999956334703	0.0	117.0	177.0	817459.0
	GO:0006950	response to stress	BIOLOGICAL_PROCESS	1.0	0.7742699879641174	2.0	14240.0	175.0	803336.0
	GO:0040029	epigenetic regulation of gene expression	BIOLOGICAL_PROCESS	1.0	0.9999999990626119	0.0	365.0	177.0	817211.0
	GO:0031967	organelle envelope	CELLULAR_COMPONENT	1.0	0.999999988114069	0.0	411.0	177.0	817165.0
	GO:0005975	carbohydrate metabolic process	BIOLOGICAL_PROCESS	1.0	0.7326091899609328	1.0	10525.0	176.0	807051.0
	GO:0005856	cytoskeleton	CELLULAR_COMPONENT	1.0	0.9999999967344017	0.0	1302.0	177.0	816274.0
	GO:0005739	mitochondrion	CELLULAR_COMPONENT	1.0	0.5976824310944724	2.0	17588.0	175.0	799988.0
	GO:0005618	cell wall	CELLULAR_COMPONENT	1.0	1.0000000009969081	0.0	331.0	177.0	817245.0
	GO:0030234	enzyme regulator activity	MOLECULAR_FUNCTION	1.0	0.9999999998946292	0.0	1570.0	177.0	816006.0
	GO:0071944	cell periphery	CELLULAR_COMPONENT	1.0	0.7833120091586087	4.0	16282.0	173.0	801294.0
	GO:0036211	protein modification process	BIOLOGICAL_PROCESS	1.0	0.9999999974744962	0.0	2709.0	177.0	814867.0
	GO:0005794	Golgi apparatus	CELLULAR_COMPONENT	1.0	0.9999999954266594	0.0	1953.0	177.0	815623.0
	GO:0042579	microbody	CELLULAR_COMPONENT	1.0	0.9999999991640989	0.0	1355.0	177.0	816221.0
	GO:0003774	cytoskeletal motor activity	MOLECULAR_FUNCTION	1.0	0.9999999973966984	0.0	537.0	177.0	817039.0
	GO:0003006	developmental process involved in reproduction	BIOLOGICAL_PROCESS	1.0	0.9999999909138438	0.0	402.0	177.0	817174.0
	GO:0009628	response to abiotic stimulus	BIOLOGICAL_PROCESS	1.0	0.5567538186334772	1.0	3749.0	176.0	813827.0
	GO:0098772	molecular function regulator activity	MOLECULAR_FUNCTION	1.0	0.9999999998946292	0.0	1570.0	177.0	816006.0
	GO:0071695	anatomical structure maturation	BIOLOGICAL_PROCESS	1.0	0.9999999987416773	0.0	31.0	177.0	817545.0
	GO:0009908	flower development	BIOLOGICAL_PROCESS	1.0	0.9999999930038906	0.0	371.0	177.0	817205.0
	GO:0005829	cytosol	CELLULAR_COMPONENT	1.0	0.5915725259327095	2.0	15965.0	175.0	801611.0
	GO:0019825	oxygen binding	MOLECULAR_FUNCTION	1.0	0.9999999946789028	0.0	164.0	177.0	817412.0
	GO:0048608	reproductive structure development	BIOLOGICAL_PROCESS	1.0	0.9999999909138438	0.0	402.0	177.0	817174.0
	GO:0005840	ribosome	CELLULAR_COMPONENT	1.0	0.7284316152660287	1.0	9703.0	176.0	807873.0
	GO:0007623	circadian rhythm	BIOLOGICAL_PROCESS	1.0	0.9999999898599982	0.0	177.0	177.0	817399.0
	GO:0009889	regulation of biosynthetic process	BIOLOGICAL_PROCESS	1.0	0.9999999990626119	0.0	365.0	177.0	817211.0
